,Country,Year,ECCN Code,Description,Rank,Ranking
256,Japan,2018,3B991,Other Mfg/Test Equip. Not Controlled By 3B,2,NLR with ECCN
257,Japan,2018,5A991,Telecommunication Equip. Not Controlled by 5A001,3,NLR with ECCN
258,Japan,2018,5A992,Mass Market Encryption Commodities not controlled by 5A002,4,NLR with ECCN
259,Japan,2018,3B992,Equip. for the Inspection/Testing of Components not Controlled by 3B002,5,NLR with ECCN
260,Japan,2018,3A991,Electronic Devices and Components,6,NLR with ECCN
261,Japan,2018,7A994,Other Navigation Direction Finding Equip. ... Not Controlled under 7A003,7,NLR with ECCN
262,Japan,2018,1C992,Commercial Charges and Devices Containing Energetic Materials ...,8,NLR with ECCN
263,Japan,2018,3A999,"Specific Processing Equip., N.E.S.",9,NLR with ECCN
264,Japan,2018,3A001,Electronic Components,10,NLR with ECCN
265,Korea,2018,0A606,Ground Vehicles and Related Commodities,1,License
266,Korea,2018,9A619,Military Gas Turbine Engines and Related Commodities,2,License
267,Korea,2018,9A610,Military Aircraft and Related Commodities,3,License
268,Korea,2018,6A003,Cameras,4,License
269,Korea,2018,3A611,Military Electronics,5,License
270,Korea,2018,7A003,Inertial Navigation Systems (Gimballed/Strapdown),6,License
271,Korea,2018,1C107,"Graphite and Ceramic Materials, Other Than Those Controlled by 1C007",7,License
272,Korea,2018,7A611,"Navigation and Avionics equipment and systems, and ""parts,""",8,License
273,Korea,2018,3A001,Electronic Components,9,License
274,Korea,2018,5A002,Systems/Equip./Integrated Circuits for Info Sec,10,License
275,Korea,2018,5A002,Systems/Equip./Integrated Circuits for Info Sec,1,Exceptions
276,Korea,2018,9A610,Military Aircraft and Related Commodities,2,Exceptions
277,Korea,2018,9A619,Military Gas Turbine Engines and Related Commodities,3,Exceptions
278,Korea,2018,3A611,Military Electronics,4,Exceptions
279,Korea,2018,9A515,Spacecraft and Related Commodities,5,Exceptions
280,Korea,2018,8A609,Surface Vessels of War and Related Commodities,6,Exceptions
281,Korea,2018,0A606,Ground Vehicles and Related Commodities,7,Exceptions
282,Korea,2018,1C006,Fluids and Lubricating Materials,8,Exceptions
283,Korea,2018,9B610,"Test, Inspection, and Production Equip. and Related Commodities Specia...",9,Exceptions
284,Korea,2018,No ECCN,No ECCN is required for License Exceptions TMP*,10,Exceptions
285,Korea,2018,3B991,Other Mfg/Test Equip. Not Controlled By 3B,1,NLR with ECCN
286,Korea,2018,9A991,Aircraft N.E.S. and Gas Turbine Engines not Controlled by 9A001 or 9A101,2,NLR with ECCN
287,Korea,2018,3B992,Equip. for the Inspection/Testing of Components not Controlled by 3B002,3,NLR with ECCN
288,Korea,2018,5A991,Telecommunication Equip. Not Controlled by 5A001,4,NLR with ECCN
289,Korea,2018,5A992,Mass market Encryption Commodities not controlled by 5A002,5,NLR with ECCN
290,Korea,2018,3A992,General Purpose Electronic Equip. Note Controlled by 3A002,6,NLR with ECCN
291,Korea,2018,3B001,Epitaxial Equip. for Semiconductors,7,NLR with ECCN
292,Korea,2018,2B999,"Specific Processing Equip., N.E.S.",8,NLR with ECCN
293,Korea,2018,3A991,Electronic Devices and Components,9,NLR with ECCN
294,Korea,2018,3A999,"Specific Processing Equip., N.E.S",10,NLR with ECCN
295,Malaysia,2018,9A610,Military Aircraft and Related Commodities,1,License
296,Malaysia,2018,3A001,Electronic Components,2,License
297,Malaysia,2018,5A002,Systems/Equip./Integrated Circuits for Info Sec,3,License
298,Malaysia,2018,9B619,"Test, Inspection, and Production Equip. and Related Commodities Specia...",4,License
299,Malaysia,2018,2B201,Machine tools for Removing Or Cutting Metals,5,License
300,Malaysia,2018,2B350,Chemical Manufacturing Facilities and Equip.,6,License
301,Malaysia,2018,3A002,General Purpose Electronic Equip.,7,License
302,Malaysia,2018,9E619,"Technology for Commodities controlled by 9A619, 9B619, 9C619 and 9D619",8,License
303,Malaysia,2018,2B230,Pressure Transducers,9,License
304,Malaysia,2018,1C350,"Chemicals, Precursors for toxic Chemical Agents",10,License
305,Malaysia,2018,5A002,Systems/Equip./Integrated Circuits for Info Sec,1,Exceptions
306,Malaysia,2018,3A001,Electronic Components,2,Exceptions
307,Malaysia,2018,3A002,General Purpose Electronic Equip.,3,Exceptions
308,Malaysia,2018,3B001,Epitaxial Equip. for Semiconductors,4,Exceptions
309,Malaysia,2018,9A610,Military Aircraft and Related Commodities,5,Exceptions
310,Malaysia,2018,7A103,"""Information Security"" Test, Inspection and ""Production"" Equipment",6,Exceptions
311,Malaysia,2018,1C006,Fluids and Lubricating Materials,7,Exceptions
312,Malaysia,2018,EAR99,Items subject to the EAR that are not elsewhere controlled,8,Exceptions
313,Malaysia,2018,5B002,"Instrumentation, Navigation Equip./Systems Not",9,Exceptions
314,Malaysia,2018,3A001,Military Gas Turbine Engines and Related Commodities,10,Exceptions
315,Malaysia,2018,EAR99,Items subject to the EAR that are not elsewhere controlled,1,NLR with ECCN
316,Malaysia,2018,9A991,Aircraft N.E.S. and Gas Turbine Engines not Controlled by 9A001 or 9A101,2,NLR with ECCN
317,Malaysia,2018,5A992,Mass market Encryption Commodities not controlled by 5A002,3,NLR with ECCN
318,Malaysia,2018,3A991,Electronic Devices and Components,4,NLR with ECCN
319,Malaysia,2018,5A991,Telecommunication Equip. Not Controlled by 5A001,5,NLR with ECCN
320,Malaysia,2018,3B992,Equip. for the Inspection/Testing of Components not Controlled by 3B002,6,NLR with ECCN
321,Malaysia,2018,3A992,General Purpose Electronic Equip. Note Controlled by 3A002,7,NLR with ECCN
322,Malaysia,2018,3B991,Other Mfg/Test Equip. Not Controlled By 3B,8,NLR with ECCN
323,Malaysia,2018,7A994,Other Navigation Direction Finding Equip.... Not Controlled under 7A003,9,NLR with ECCN
324,Malaysia,2018,4A994,Computers Not Controlled By 4A001 or 4A003,10,NLR with ECCN
325,Netherlands,2018,9A610,Military Aircraft and Related Commodities,1,License
326,Netherlands,2018,1C111,Propellants and Constituent Chemicals,2,License
327,Netherlands,2018,3A611,Military Electronics,3,License
328,Netherlands,2018,7A103,"Instrumentation, Navigation Equip./Systems Not",4,License
329,Netherlands,2018,6A001,"Acoustic Systems, Equipment and ""Components""",5,License
330,Netherlands,2018,9A515,Spacecraft and Related Commodities,6,License
331,Netherlands,2018,9A604,"Commodities Related to Launch Vehicles, Missiles, Rockets, torpedoes,",7,License
332,Netherlands,2018,9A619,Military Gas Turbine Engines and Related Commodities,8,License
333,Netherlands,2018,9B610,"Test, Inspection, and Production Equip. and Related Commodities Specia...",9,License
334,Netherlands,2018,3A001,Electronic Components,10,License
335,Netherlands,2018,5A002,Systems/Equip./Integrated Circuits for Info Sec,1,Exceptions
336,Netherlands,2018,3A001,Electronic Components,2,Exceptions
337,Netherlands,2018,9A610,Military Aircraft and Related Commodities,3,Exceptions
338,Netherlands,2018,6A003,Cameras,4,Exceptions
